"Tijdstempel","Wat is uw geslacht?","Wat is uw leeftijd?","Wat voor studie volgt u momenteel? (Indien u geen studie volgt kunt u 'nvt' beantwoorden)","Number Go Trials","Number Go Mistakes","Go Mistakes %","Number No Go Trials","Number No Go Mistakes","No Go Mistakes %","Welke vorm van fysieke activiteit doe je meestal? (indien je meerdere sporten verricht benoem het als volgt: sport1,sport2...)","Hoe vaak per week doe je aan fysieke activiteit (minstens 30 minuten per sessie)?","Hoe lang duurt een gemiddelde sessie van fysieke activiteit?"
"2024/06/19 9:00:44 p.m. EEST","Man","19","Informatiekunde","200","0","0","25","5","20","Voetbal, gym","3-4 keer","1-2 uur"
"2024/06/19 9:30:41 p.m. EEST","Man","22","WO Bachelor","200","0","0","25","7","28","fitness,dans,fietsen,wandelen","5 keer of meer","30-60 minuten"
"2024/06/19 10:29:43 p.m. EEST","Man","21","nvt","","","","","","","Krachttraining, Yoga","3-4 keer","30-60 minuten"
"2024/06/19 10:33:07 p.m. EEST","Man","20","Biologie bachelor","","","","","","","Sportschool, mountainbiken, squash, basketbal, boulderen","5 keer of meer","1-2 uur"
"2024/06/19 11:10:29 p.m. EEST","Man","21","Bedrijfskunde","200","40","20","30","21","70","fitness","3-4 keer","1-2 uur"
"2024/06/19 11:32:54 p.m. EEST","Man","21","gezondheidswetenschappen","200","8","4%","25","23","92%","sportschool","3-4 keer","1-2 uur"
"2024/06/20 12:27:13 a.m. EEST","Man","20","Informatiekunde","16","0","0","2","1","50","Fitness","5 keer of meer","30-60 minuten"
"2024/06/20 12:59:31 a.m. EEST","Man","20","biologie bachelor","200","2","1","25","10","40","fitness, mountainbiken, squash, basketbal, boulderen","5 keer of meer","1-2 uur"
"2024/06/20 1:17:39 a.m. EEST","Man","20","Informatiekunde","200","2","1","25","7","28","fitness,voetbal","5 keer of meer","1-2 uur"
"2024/06/20 1:20:42 a.m. EEST","Man","18","Social Work","200","1","1","25","4","2","hardlopen","3-4 keer","30-60 minuten"
"2024/06/20 1:22:57 a.m. EEST","Man","25","ICT","200","3","2","25","5","20","gym,zaalvoetbal","3-4 keer","1-2 uur"
"2024/06/20 1:24:05 a.m. EEST","Man","17","nvt","200","2","1","25","7","28","voetballen","3-4 keer","1-2 uur"
"2024/06/20 1:25:15 a.m. EEST","Man","21","bedrijfskunde","200","0","0","25","3","12","roeien,gymmen","5 keer of meer","1-2 uur"
"2024/06/20 1:26:58 a.m. EEST","Vrouw","19","Pedagogiek","200","5","3","25","6","24","cardio","1-2 keer","30-60 minuten"
"2024/06/20 1:29:32 a.m. EEST","Vrouw","23","User Experience Design","200","1","1","25","1","4","fitness,cardio,yoga","3-4 keer","30-60 minuten"
"2024/06/20 1:30:45 a.m. EEST","Man","26","ICT","200","0","0","25","2","8","gewichtstraining","1-2 keer","30-60 minuten"
"2024/06/20 1:33:30 a.m. EEST","Vrouw","18","Psychologie","200","1","1","25","3","12","sportschool,fietsen","3-4 keer","30-60 minuten"
"2024/06/20 1:34:42 a.m. EEST","Man","19","informatiekunde","200","0","0","25","6","24","mma","3-4 keer","1-2 uur"
"2024/06/20 1:36:07 a.m. EEST","Vrouw","24","pedagogiek","200","3","2","25","5","20","lopen","5 keer of meer","30-60 minuten"
"2024/06/20 4:46:54 p.m. EEST","Man","19","Economics and Business Economics","200","1","1","25","17","68","","1-2 keer","1-2 uur"
